Pipeline,audio_name,gold_transcript,predicted_transcript,gold_role,predicted_role
ASR + Role,LSGS_SION_Ground_Control_121_7MHz_20210502_060221.wav,takeoff Sierra number one number one Hotel Echo X-ray,,ATC,
ASR + Role,LSGS_SION_Ground_Control_121_7MHz_20210502_060824.wav,Hotel Echo X-ray downwind two five for touch and go,Hotel Echo X-ray downwind two five for touch and go,ATC,ATC
ASR + Role,LSGS_SION_Ground_Control_121_7MHz_20210502_061623.wav,Hotel Echo X-ray final two five for touch and go,Hotel Echo X-ray final two five for touch and go,ATC,ATC
ASR + Role,LSGS_SION_Ground_Control_121_7MHz_20210502_065138.wav,Sion November Seven One Six Alpha Sierra Alpine jet ready for taxi November Alpha Sierra taxi to holding point delta holding point November Seven One Six Alpha Sierra,November seven one six Alfa Sierra,Pilot,Pilot
ASR + Role,LSGS_SION_Ground_Control_121_7MHz_20210502_065407.wav,November Alpha Sierra line up runway two five,November Alpha Sierra line up runway two five,ATC,ATC
ASR + Role,LSGS_SION_Ground_Control_121_7MHz_20210502_065520.wav,November Alpha Sierra wind two five zero degrees nine knots runway two five cleared for takeoff report one three thousand feet climbing,,ATC,
ASR + Role,LSGS_SION_Ground_Control_121_7MHz_20210502_065945.wav,we are not ready now Foxtrot Lima Delta,Hotel Echo X-ray we are not ready now wait five minutes,Other,ATC
ASR + Role,LSGS_SION_Ground_Control_121_7MHz_20210502_071049.wav,Sion tower bonjour Bair Nine Five now establish on the ILS runway two five,Sion tower bonjour pr nine five one establish and the ILS runway two five,Other,Pilot
ASR + Role,LSGS_SION_Ground_Control_121_7MHz_20210502_092024.wav,Luxor Two Two Hotel Sion bonjour,Hotel Sion bonjour Hotel Sion Hotel Sion Hotel Sion Hotel Sion,ATC,ATC
ASR + Role,LSGS_SION_Ground_Control_121_7MHz_20210502_164140.wav,Papa Mike vacate to the left and then straight ahead until further advised the left and then straight ahead Hotel Papa Mike,Papa Mike vacated to the left and then straight ahead until further advised,ATC,ATC
ASR + Role,LSGS_SION_Ground_Control_121_7MHz_20210502_164218.wav,Lufthansa Mike which parking Lufthansa Mike continue for what two zero meters and then will be first a yellow light to the right,Oscar Mike which parking,Pilot,ATC
ASR + Role,LSGS_SION_Ground_Control_121_7MHz_20210502_164322.wav,Hotel Papa Mike perfect thank you very much thank you very much Hotel Papa Mike,Hotel Echo Mike contact me in two minutes Hotel Echo Mike,ATC,ATC
ASR + Role,LSGS_SION_Ground_Control_121_7MHz_20210503_080828.wav,Hotel Lima Tango roger standby i coordinate with military sector,,ATC,
ASR + Role,LSGS_SION_Ground_Control_121_7MHz_20210503_081644.wav,clouds four hundred feet for landing,thousand four hundred feet for landing,Other,ATC
ASR + Role,LSGS_SION_Ground_Control_121_7MHz_20210503_082722.wav,next final two five Hotel Charlie Juliett,next final two five hotel charlie juliet,Other,Pilot
ASR + Role,LSGS_SION_Ground_Control_121_7MHz_20210503_083922.wav,thank you QNH is one zero two three,Thank you QNH one zero eight three,ATC,ATC
ASR + Role,LSGS_SION_Ground_Control_121_7MHz_20210503_142105.wav,Hotel Bravo Kilo Papa Echo two one zero degrees four knots runway two five cleared takeoff report november whiskey,Hotel Bravo Kilo Papa Echo two one zero degrees four knots runway two five clear take off report november whiskey,ATC,Pilot
ASR + Role,LSGS_SION_Ground_Control_121_7MHz_20210503_145500.wav,passing one thousand one zero thousand feet in descent in the western sector Mosquito One Five Bravo Mosquito One Five Bravo correct and keep an eyes for glider activity north of the field,Sicuro un po 'bravo corretto and keep right for glider activity in the source of the field,Pilot,ATC
ASR + Role,LSGS_SION_Ground_Control_121_7MHz_20210503_151530.wav,say again can you three by five Heli Hotel Yankee Heli Hotel Yankee QNH one zero one seven report hotel echo or golf echo at your discretion,Sehr gerne Hotel Oscar Three by Five Hotel Oscar Three by Five,Other,ATC
ASR + Role,LSGS_SION_Ground_Control_121_7MHz_20210503_151916.wav,Hotel Golf Kilo you may leave frequency bye bye,Hotel Golf Kilo you may leave frequency bye bye,ATC,ATC
ASR + Role,LSGS_SION_Ground_Control_121_7MHz_20210503_153923.wav,Foxtrot Delta Uniform report november whiskey wind two seven zero degrees one zero knots runway two five cleared for takeoff cleared for takeoff two five Foxtrot Delta Uniform thanks november whiskey,Foxtrot Delta Uniform report November risk you went two seven zero degrees flight level one zero knots join two five cleared for takeoff,ATC,ATC
ASR + Role,LSGS_SION_Ground_Control_121_7MHz_20210503_160018.wav,Four Two Six redue two by five,Vantage Six reduced two by five,ATC,ATC
ASR + Role,LSGS_SION_Ground_Control_121_7MHz_20210503_161854.wav,Helicopter Tango Oscar you may leave the frequency bye bye Tango Oscar leave the frequency bye bye Nav Checker Five One One further climb is approved further climb approved again Nav Checker Five One One,Heli Cotton Tango Sky you may leave the frequency bye bye,ATC,ATC
ASR + Role,LSGS_SION_Ground_Control_121_7MHz_20210504_101442.wav,Nav Checker Five One One contact Sion approach one two six decimal eight two five talk to you later one two six eight two five talk to you later Nav Checker Five One One,Sierra Six Four Five One One contact Sion approach one two six decimal eight two five talk to you later,ATC,ATC
ASR + Role,LSGS_SION_Ground_Control_121_7MHz_20210504_134548.wav,okay approximately fifteen minutes before starting thank you,Okay approximately fifteen minutes but start there thank you very much,ATC,ATC
ASR + Role,LSGS_SION_Ground_Control_121_7MHz_20210504_155421.wav,Nav Checker Five One One good afternoon Nav Checker Five One One we are on the way to your airfield and i would like to know what is the actual ground base you have in your area,yeah that's correct we are on the way to your airfield and i would like to know what is the actual cloud base you have in your area,ATC,ATC
ASR + Role,LSGS_SION_Ground_Control_121_7MHz_20210505_065954.wav,November Golf Papa read back correct report for taxi,Lufthansa Number Five Papa Rita Bravo taxi to runway three four,ATC,Pilot
ASR + Role,LSGS_SION_Ground_Control_121_7MHz_20210505_105917.wav,Tango Three Three Five frequency change approved good bye good bye,Tangout Three Three Five plus frequency change please prove good bye,ATC,ATC
ASR + Role,LSGS_SION_Ground_Control_121_7MHz_20210505_140831.wav,no sorry you have to refound the flight plan sir okay we won't see company quickly to refound no problem technic,Okay we will accept company QKI two ref thanks no problem Alex here,ATC,ATC
ASR + Role,LSGS_SION_Tower_118_3MHz_20210415_132357.wav,Hotel Echo X-ray wind two seven zero degrees five knots runway two five cleared to land,Hotel Echo X-ray wind two seven zero degrees five knots runway two five cleared to land,ATC,ATC
ASR + Role,LSGS_SION_Tower_118_3MHz_20210415_133129.wav,Hotel Echo X-ray wind two three zero degrees six knots runway two five cleared to land,Hotel Echo X-ray wind two three zero degrees six knots runway two five taxi line up,ATC,ATC
ASR + Role,LSGS_SION_Tower_118_3MHz_20210423_083403.wav,number two looking out for number one Hotel Hotel,number two looking at number one at the local time,ATC,ATC
ASR + Role,LSGS_SION_Tower_118_3MHz_20210502_065945.wav,we are not ready now Foxtrot Lima Delta,we are not ready now we are not ready yet,Other,Pilot
ASR + Role,LSGS_SION_Tower_118_3MHz_20210503_130418.wav,Hotel Golf Bravo straight in two five number one,Hotel Golf Bravo straight in two five number one,Other,ATC
ASR + Role,LSGS_SION_Tower_118_3MHz_20210503_130423.wav,Hotel Golf Bravo is echo two at three thousand three hundred feet Golf Bravo straight in two five number one number one Golf Bravo,Hotel Echo X-ray number one number one Hotel Echo X-ray,Pilot,ATC
ASR + Role,LSGS_SION_Tower_118_3MHz_20210503_152021.wav,next is bravo Nav Checker Five One One Nav Checker Five One One roger QNH one zero one seven reported in and go,Tracker Five One One roger QNH still one three one seven reporting in a go,Pilot,Pilot
ASR + Role,LSGS_SION_Tower_118_3MHz_20210505_105333.wav,roger station calling please pass your message,Hotel Station calling please pass your message,ATC,ATC
ASR + Role,LSGS_SION_Tower_118_3MHz_20210505_133612.wav,one two four decimal two two five Bair Nine Five One good bye,one two four decimal two two five be ready to five one good bye,Pilot,ATC
ASR + Role,LSZB_BERN_Approach_127_3MHz_20210413_112637.wav,Fraction Five Seven Six Hotel descend to four thousand feet cleared ARP approach runway one four report airborne track established,Radar contact Hotel Delta four thousand feet cleared approach runway one four report inbound track established,ATC,ATC
ASR + Role,LSZB_BERN_Approach_127_3MHz_20210414_061440.wav,Quadriga One Six Three Foxtrot descend to flight level seven zero,Quadriga One Six Three Foxtrot descend to flight level seven zero,ATC,ATC
ASR + Role,LSZB_BERN_Approach_127_3MHz_20210414_090744.wav,Swiss Radar One Three Five Six Eight Zero next seven five zero eight bye bye,Swiss Radar one three five six eight zero next seven five zero eight bye bye,Other,ATC
ASR + Role,LSZB_BERN_Approach_127_3MHz_20210414_122417.wav,Hotel Tango Uniform do you intend to canceled the IFR flight before Fribourg,Hotel Tango Uniform do you intend to cancel the I-IV flight before freebook,ATC,ATC
ASR + Role,LSZB_BERN_Approach_127_3MHz_20210414_134643.wav,Delta Oscar Victoria you are still on the Bern arrival frequency,Delta Oscar Victoria you are still on the Bern arrival frequency,ATC,ATC
ASR + Role,LSZB_BERN_Approach_127_3MHz_20210414_160746.wav,we will taxi to sector blue when ready Hotel Charlie November,Hotel Delta Juliett November will taxi to sector blue when ready Hotel Delta Juliett November,Pilot,ATC
ASR + Role,LSZB_BERN_Approach_127_3MHz_20210414_160756.wav,Hotel Bravo Juliett leave out on route whiskey wind zero three zero degrees one zero knots runway three two cleared for takeoff,Hotel Bravo Juliett left runway two whiskey wind zero three zero degrees one zero knots runway three two cleared for takeoff,ATC,Pilot
ASR + Role,LSZB_BERN_Approach_127_3MHz_20210415_073916.wav,Sunturk Quebec Sierra descend to flight level seven zero expect clearance four airwork about three miles before Oskup,,ATC,
ASR + Role,LSZB_BERN_Approach_127_3MHz_20210415_095230.wav,November Mike Alpha vectoring for a short approach turn left heading two four zero,November Mike Alpha vectoring for a short approach turn left heading two four zero,ATC,ATC
ASR + Role,LSZB_BERN_Approach_127_3MHz_20210415_130024.wav,Hotel Golf Yankee rodger clearance after touch and go is available,Hotel Golf Yankee Roger Clarence after touch and go is available,ATC,ATC
ASR + Role,LSZB_BERN_Approach_127_3MHz_20210415_160311.wav,Bern Approach Hotel Bravo Kilo Bravo Victor Kilo Bravo Victor Bern,Hotel Bravo Kilo Bravo Alpha you are good to go,Pilot,Pilot
ASR + Role,LSZB_BERN_Approach_127_3MHz_20210416_061750.wav,tower Bern Hotel Bravo Kilo Golf November blue parking VFR local as plan route whiskey information november request taxi,Tower Bern Hotel Bravo Kilo Golf November blue parking via our local outbound route whiskey information November request taxis,Pilot,ATC
ASR + Role,LSZB_BERN_Approach_127_3MHz_20210416_072155.wav,Riga Quebec Lima traffic single engine at your ten o'clock position four miles crossing from left to right at five thousand five hundred feet,Vega Quebec Lima traffic single engine at your ten o'clock position four miles crossing from left to right at five thousand five hundred feet,ATC,ATC
ASR + Role,LSZB_BERN_Approach_127_3MHz_20210416_084747.wav,Hotel India Alpha until four miles maintain one hundred knots or greater,Hotel India Alpha until four miles maintain one hundred knots or greater,ATC,ATC
ASR + Role,LSZB_BERN_Approach_127_3MHz_20210418_083338.wav,Papa Foxtrot approaching Bern city request to make an orbid over the Bundeshaus Papa Foxtrot that is approved orbit approved Hotel Papa Foxtrot,Papa Foxtrot at your service,Pilot,ATC
ASR + Role,LSZB_BERN_Approach_127_3MHz_20210418_152915.wav,Hotel November Lima for the time being remain on this frequency,Hotel November Lima for the time being remain on this frequency,ATC,ATC
ASR + Role,LSZB_BERN_Approach_127_3MHz_20210419_091544.wav,Hotel Quebec Yankee crossing completed frequency change approved good bye,,ATC,
ASR + Role,LSZB_BERN_Approach_127_3MHz_20210420_090959.wav,Hotel Hotel Bravo seven thousand feet Hotel Hotel Bravo thank you,Hotel Hotel Bravo contact us immediately Hotel Echo Foxtrot,Pilot,ATC
ASR + Role,LSZB_BERN_Approach_127_3MHz_20210424_150535.wav,Hotel Golf Echo do you want to stay at level one hundred or are you able to descend,Hotel Golf Echo do you want to stay at level one hundred or are you able to descend,ATC,ATC
ASR + Role,LSZB_BERN_Approach_127_3MHz_20210425_162033.wav,Hotel Delta Lima via bravo then taxi your discretion blue sector if it is full green four is available,Hotel Delta Lima via Bravo then taxi your discretion blue sector if it's full green four is available,ATC,ATC
ASR + Role,LSZB_BERN_Tower_121_0MHz_20210413_102305.wav,Hotel Golf Sierra can offer you only one touch and go then upon route whiskey due to it's launch time there are no circuits approved,Hotel Golf Sierra can offer you only one touch and go and then up and route whiskey due to it's lunch time there are no circuits approved,ATC,ATC
ASR + Role,LSZB_BERN_Tower_121_0MHz_20210413_112156.wav,Hotel Victor Bravo roger behind traffic on final backtrack runway one four behind,Hotel Victor Bravo Roger behind traffic on final back track runway one four behind,ATC,ATC
ASR + Role,LSZB_BERN_Tower_121_0MHz_20210413_123724.wav,Hotel Golf Oscar wind zero seven zero degrees one zero knots runway one four cleared touch and go,,ATC,
ASR + Role,LSZB_BERN_Tower_121_0MHz_20210413_124002.wav,takeoff Golf Oscar upwind two thousand one hundred feet request left hand circuit runway zero six for another and last touch and go Hotel Golf Oscar make left hand circuit is approved runway one four,Hotel Bravo Oscar upwind at two thousand one hundred feet request left hand circuit runway zero six for another and the last touch and go,Pilot,ATC
ASR + Role,LSZB_BERN_Tower_121_0MHz_20210413_124225.wav,Hotel Golf Oscar number two number one short final runway one four,Hotel Golf Oscar number two number one short final runway one four,ATC,ATC
ASR + Role,LSZB_BERN_Tower_121_0MHz_20210413_124320.wav,Hotel Bravo Sierra Golf Romeo Bern Tower into control by route november join mid left downwind runway one four QNH one zero two seven,Hotel Bravo Sierra Golf Romeo Bern tower enter controlled runway two november join at midfield down runway one four in hash one zero two seven,ATC,Pilot
ASR + Role,LSZB_BERN_Tower_121_0MHz_20210413_125843.wav,Hotel Golf Papa make a one eighty stay clear of the runway taxi to holding point foxtrot,Hotel Golf Papa make one eighty taxi clear of runway taxi to holding point foxtrot,ATC,ATC
ASR + Role,LSZB_BERN_Tower_121_0MHz_20210413_132431.wav,we have the traffic in sight Rega One Zero we leave the control zone schöne namittag Rega One Zero frequency change approved schöne nami,"Uh, we have the traffic in sight over there and we will continue to monitor it closely beautiful landing",Pilot,Pilot
ASR + Role,LSZB_BERN_Tower_121_0MHz_20210413_133125.wav,Hotel Golf Sierra roger I understood one touch and go than one circuit again touch and go then whiskey,Hotel Golf Sierra Roger I understood one touch and go then one circuit again touch and go then whiskey,ATC,ATC
ASR + Role,LSZB_BERN_Tower_121_0MHz_20210413_133435.wav,Hotel Golf Sierra after echo one join right hand base runway three two as number one and expect left hand circuit,Hotel Golf Sierra after echo one join right hand base runway three two as number one and expect the left hand circuit,ATC,ATC
ASR + Role,LSZB_BERN_Tower_121_0MHz_20210413_141321.wav,Delta Charlie Kilo Victor India tower hello QNH one zero two seven startup approved runway three two cleared destination Malta via the Mebox three bravo departure zulu one four one transition climb initially five thousand feet squawk two seven six zero,Hotel Golf India Victor India tower hello again one zero two seven star approved tramway three two cleared destination Malta via the mailbox three bravo departure,ATC,Pilot
ASR + Role,LSZB_BERN_Tower_121_0MHz_20210413_144653.wav,Hotel Quebec Juliett traffic Piper single engine position three miles south of your position proceeding towards Willisau four thousand feet indicating not verified,Hotel Quebec Juliett traffic Piper single engine position three miles south of your position proceeding towards Ville So four thousand feet indicating not verified,ATC,ATC
ASR + Role,LSZB_BERN_Tower_121_0MHz_20210414_063757.wav,Hotel Whiskey Alpha wind is calm runway one four cleared for takeoff,Hotel Whiskey Alpha Windis come runway one four cleared for takeoff,ATC,ATC
ASR + Role,LSZB_BERN_Tower_121_0MHz_20210414_064609.wav,Hotel Romeo Oscar roger crossing direction echo at four thousand feet is approved QNH Bern one zero two five,Hotel Romeo Oscar Roger crossing direction echo at four thousand feet is approved QNH Bern one zero two five,ATC,ATC
ASR + Role,LSZB_BERN_Tower_121_0MHz_20210414_073805.wav,Hotel Hotel Golf next left via delta to blue sector,Hotel Hotel Golf next left via relta to blue sector,ATC,ATC
ASR + Role,LSZB_BERN_Tower_121_0MHz_20210414_093450.wav,Tango Three Three One number one is now on the right base,Tango Three Three One number one is now on the right base,ATC,ATC
ASR + Role,LSZB_BERN_Tower_121_0MHz_20210414_094052.wav,Hotel Golf Oscar wind check zero two zero degrees one one knots can you still accept one four,Hotel Golf Oscar wind check zero two zero degrees one one knots can you still accept one four,ATC,ATC
ASR + Role,LSZB_BERN_Tower_121_0MHz_20210414_094938.wav,say again Heli Lima Juliett Heli Lima Juliett join mid left heli circuit three two land at own discretion swiss helicopter wind zero four zero degrees one zero knots,Heli Lima Juliett join mid left heli circuit three two land at own discretion swiss helicopter wind zero four zero degrees one zero knots,Other,Pilot
ASR + Role,LSZB_BERN_Tower_121_0MHz_20210414_103845.wav,roger Bravo Three Zero Four Three affirm climb maximum five thousand five hundred feet,Hotel Bravo Three Zero Four Three affirm climb maximum five thousand five hundred feet,ATC,ATC
ASR + Role,LSZB_BERN_Tower_121_0MHz_20210414_132458.wav,Tango Three One Eight roger you can already change frequency have a nice day,Tango Three One Eight roger you can already change frequency have a nice day,ATC,ATC
ASR + Role,LSZB_BERN_Tower_121_0MHz_20210415_122910.wav,Heli India Echo Hotel Whiskey three thousand six hundred feet Heli India Echo land on discretion Swiss helicopter wind zero seven zero degrees six knots,Heli India Echo landing on discretion to Swiss helicopter wind zero seven zero degrees six knots,Other,ATC
ASR + Role,LSZB_BERN_Tower_121_0MHz_20210415_125054.wav,yeah of course than you can expect VFR circuits after touch and go report taking off romeo circling,yeah of course then you can expect the VFR circuits after touching of report breaking of full circling,Other,ATC
ASR + Role,LSZB_BERN_Tower_121_0MHz_20210416_083545.wav,Heli Oscar Bravo are you ready for expedition crossing otherwise you have to hold on,Heli Oscar Bravo are you ready for expedition crossing otherwise you have to hold on room,ATC,ATC
ASR + Role,LSZB_BERN_Tower_121_0MHz_20210418_185745.wav,Hotel Lima Sierra during night time visual departure is not possible,Hotel Lima via visual departure is not possible,ATC,ATC
ASR + Role,LSZB_BERN_Tower_121_0MHz_20210419_124328.wav,roger break break Heli Delta Quebec after hotel whiskey cross via Berne city then hotel echo,roger break break heli delta Quebec after hotel whiskey cross via burn city then hotel echo,ATC,ATC
ASR + Role,LSZB_BERN_Tower_121_0MHz_20210420_062521.wav,Hotel Golf Papa number two number one is the company on now left hand base and still two helicopters low altitude over the city looking up for helicopter and number one not in sight at the moment and a number two Papa Golf Papa,Hotel Golf Papa number two number one is the company on now left hand base and still two helicopters low altitude over the city,ATC,ATC
ASR + Role,LSZB_BERN_Tower_121_0MHz_20210420_122956.wav,Hotel Golf Oscar at mid downwind make an orbit to the left report completed,Hotel Golf Alfa Kermit downwind make an orbit to the last report completed,ATC,ATC
ASR + Role,LSZB_BERN_Tower_121_0MHz_20210421_094113.wav,Hotel Golf Papa unknown VFR traffic a helicopter at your eleven o'clock position two miles same altitude opposite direction,Hotel Golf Papa unknown VFR traffic helicopter at your eleven o'clock position two miles same altitude opposite direction,ATC,ATC
ASR + Role,LSZB_BERN_Tower_121_0MHz_20210422_140356.wav,Hotel Bravo Zulu Sierra November Berne tower enter via route hotel whiskey QNH one zero one eight,Hotel Bravo Zulu Sierra November Bern Tower enter via route Hotel Whiskey QNH one zero one eight,ATC,ATC
ASR + Role,LSZB_BERN_Tower_121_0MHz_20210423_060534.wav,Heli Tango Whiskey negative it's fine if you want you can monitor the frequency but it's up to you if you stay outside of CTR all the time,Heli Tango Whiskey Negative it's fine if you want you can monitor the frequency but it's up to you if you stay outside of CTR all the time,ATC,ATC
ASR + Role,LSZB_BERN_Tower_121_0MHz_20210423_091530.wav,Zulu Sierra go ahead are you aware that you're now inside the CTR of Berne,Are you ready that you're now inside the city of Bern,Other,ATC
ASR + Role,LSZB_BERN_Tower_121_0MHz_20210423_123112.wav,Hotel Golf Oscar Charlie wait to proceed at least one miles out of track,Hotel Golf Oscar Charlie are you ready to proceed at least one mile south of track,ATC,ATC
ASR + Role,LSZB_BERN_Tower_121_0MHz_20210424_082532.wav,Hotel Bravo Sierra Charlie Tango Bern Tower hello taxi via kilo to terminal north,Hotel Bravo Sierra Charlie Tango by and tower hello taxi via kilo to terminal north,ATC,ATC
ASR + Role,LSZB_BERN_Tower_121_0MHz_20210424_084133.wav,Hotel Bravo Charlie Golf India taxi to blue station to fuel station approved from blue parking,Hotel Bravo Charlie Golf India taxi to blue station at refuel station approved from blue parking,ATC,ATC
ASR + Role,LSZB_BERN_Tower_121_0MHz_20210424_130512.wav,Hotel Bravo Juliett traffic a husky is approaching Gerzensee right now behind you and same direction,Hotel Bravo Juliett traffic Husky is approaching here today right now behind you and same direction,ATC,ATC
ASR + Role,LSZB_BERN_Tower_121_0MHz_20210424_132821.wav,Hotel Kilo Delta now to whiskey one is approved if you remain outside romeo eight two,Hotel Kilo Delta Nauto Whiskey One is approved if you remain outside Romeo Eight Two,ATC,ATC
ASR + Role,LSZB_BERN_Tower_121_0MHz_20210424_164323.wav,one second sure no worries it is fine for me but just for the next time then maybe not get a confusion ok,Hotel Echo X-ray report your position,Other,ATC
ASR + Role,LSZB_BERN_Tower_121_0MHz_20210425_074052.wav,Hotel Delta Charlie advise traffic is now clear of you and frequency change approved,Hotel Delta Charlie advise traffic is now clear of you frequency change approved,ATC,ATC
ASR + Role,LSZB_BERN_Tower_121_0MHz_20210425_084853.wav,Hotel Charlie Papa below flight level one hundred Hotel Charlie Papa frequency change approved bis später,Hotel Charlie Papa proceeding down a bravo runway for landing one hundred,Pilot,ATC
ASR + Role,LSZH_ZURICH_ApronN_121_85MHz_20210414_064241.wav,Oscar Charlie Kilo contact tower one one eight decimal one good bye,Oscar Charlie Kilo contact tower one one eight decimal one good bye,ATC,ATC
ASR + Role,LSZH_ZURICH_ApronN_121_85MHz_20210414_110350.wav,copy seven seven taxi on Zulu and Bravo hold short runway one six,Audi Seven Seven taxi on Zulu and Bravo hold short runway one six,Pilot,ATC
ASR + Role,LSZH_ZURICH_ApronS_121_75MHz_20210414_054811.wav,November Four Charlie Golf contact tower one one eight decimal one zero five,November Four Charlie Golf contact tower one nine zero taxi runway one zero contact tower one nine zero November Four Charlie Golf,ATC,Pilot
ASR + Role,LSZH_ZURICH_ApronS_121_75MHz_20210414_080706.wav,Turkish Six Foxtrot Lima is in hello taxi second right via inner foxtrot and mike to stand bravo three two,tower taxi six six foxtrot lee maiten hello taxi second right via inner foxtrot and mike to stand bravo three two,ATC,Pilot
ASR + Role,LSZH_ZURICH_ApronS_121_75MHz_20210414_095157.wav,KLM Nine Four Foxtrot on echo seven hold short of runway one six,Hotel Lima Nine Four Foxtrot and Echo Seven hold short of runway one six,ATC,ATC
ASR + Role,LSZH_ZURICH_ApronS_121_75MHz_20210414_144341.wav,Delta Tango Tango taxi via alpha echo six hold short of runway one six,Delta Tango Tango taxi via your alpha echo six hold short of runway one six,ATC,ATC
ASR + Role,LSZH_ZURICH_ApronS_121_75MHz_20210414_163659.wav,Europa Nine Four Kilo Mike contact ground one two one decimal nine zero five good bye,Euroban Nine Four Kilometre contact ground one two one decimal nine zero five good bye,ATC,ATC
ASR + Role,LSZH_ZURICH_ApronS_121_75MHz_20210414_170759.wav,Swiss One Zero Seven Six taxi via link three echo seven hold short of runway one six,,ATC,
ASR + Role,LSZH_ZURICH_ApronS_121_75MHz_20210414_181316.wav,Lot Four Two Zero contact ground one two one decimal nine zero five good bye,Hotel Bravo Foxtrot contact ground one two one decimal nine zero five good bye,ATC,ATC
ASR + Role,LSZH_ZURICH_ApronS_121_75MHz_20210418_075050.wav,well there's marchall on it's way and in Zurich it is handled like this all the time but it's any second with you,Well there's a marshal on its way and in Zurich it is handled like this all the time but it's any second with you,ATC,ATC
ASR + Role,LSZH_ZURICH_Tower_118_1MHz_20210412_144335.wav,Fraction One Zero Three Mike wind one four zero degrees four knots runway two eight cleared for takeoff,,ATC,
ASR + Role,LSZH_ZURICH_Tower_118_1MHz_20210412_194406.wav,Fraction Two Five Zero Foxtrot descend flight level nine zero,Fraction two for zero foxtrot descend flight level nine zero,ATC,ATC
