Pipeline,audio_name,gold_transcript,predicted_transcript,gold_role,predicted_role
ASR + Role,LSGS_SION_Ground_Control_121_7MHz_20210502_060221.wav,takeoff Sierra number one number one Hotel Echo X-ray,,ATC,
ASR + Role,LSGS_SION_Ground_Control_121_7MHz_20210502_060824.wav,Hotel Echo X-ray downwind two five for touch and go,Hotel Echo X-ray downwind two five for touch and go,ATC,ATC
ASR + Role,LSGS_SION_Ground_Control_121_7MHz_20210502_061623.wav,Hotel Echo X-ray final two five for touch and go,Hotel Echo X-ray final two five for touch and go,ATC,ATC
ASR + Role,LSGS_SION_Ground_Control_121_7MHz_20210502_065138.wav,Sion November Seven One Six Alpha Sierra Alpine jet ready for taxi November Alpha Sierra taxi to holding point delta holding point November Seven One Six Alpha Sierra,November seven one six Alfa Sierra,Pilot,Pilot
ASR + Role,LSGS_SION_Ground_Control_121_7MHz_20210502_065407.wav,November Alpha Sierra line up runway two five,November Alpha Sierra line up runway two five,ATC,ATC
ASR + Role,LSGS_SION_Ground_Control_121_7MHz_20210502_065520.wav,November Alpha Sierra wind two five zero degrees nine knots runway two five cleared for takeoff report one three thousand feet climbing,,ATC,
ASR + Role,LSGS_SION_Ground_Control_121_7MHz_20210502_065945.wav,we are not ready now Foxtrot Lima Delta,Hotel Echo X-ray we are not ready now wait five minutes,Other,ATC
ASR + Role,LSGS_SION_Ground_Control_121_7MHz_20210502_071049.wav,Sion tower bonjour Bair Nine Five now establish on the ILS runway two five,Sion tower bonjour pr nine five one establish and the ILS runway two five,Other,Pilot
ASR + Role,LSGS_SION_Ground_Control_121_7MHz_20210502_092024.wav,Luxor Two Two Hotel Sion bonjour,Hotel Sion bonjour Hotel Sion Hotel Sion Hotel Sion Hotel Sion,ATC,ATC
ASR + Role,LSGS_SION_Ground_Control_121_7MHz_20210502_164140.wav,Papa Mike vacate to the left and then straight ahead until further advised the left and then straight ahead Hotel Papa Mike,Papa Mike vacated to the left and then straight ahead until further advised,ATC,ATC
ASR + Role,LSGS_SION_Ground_Control_121_7MHz_20210502_164218.wav,Lufthansa Mike which parking Lufthansa Mike continue for what two zero meters and then will be first a yellow light to the right,Oscar Mike which parking,Pilot,ATC
ASR + Role,LSGS_SION_Ground_Control_121_7MHz_20210502_164322.wav,Hotel Papa Mike perfect thank you very much thank you very much Hotel Papa Mike,Hotel Echo Mike contact me in two minutes Hotel Echo Mike,ATC,ATC
ASR + Role,LSGS_SION_Ground_Control_121_7MHz_20210503_080828.wav,Hotel Lima Tango roger standby i coordinate with military sector,,ATC,
ASR + Role,LSGS_SION_Ground_Control_121_7MHz_20210503_081644.wav,clouds four hundred feet for landing,thousand four hundred feet for landing,Other,ATC
ASR + Role,LSGS_SION_Ground_Control_121_7MHz_20210503_082722.wav,next final two five Hotel Charlie Juliett,next final two five hotel charlie juliet,Other,Pilot
